"","Country","Rank","Area.km2","Area.mi2","Population","Density.pop..km2","Density.pop..mi2","Date","Population.source","Value"
"55","Mongolia","194","15,64,100","6,03,902","30,00,000","1.9","4.9","January 24, 2015","Official estimate",2497
"56","Montenegro","135","13,812","5,333","6,22,182","45","117","January 1, 2019","Official estimate",337
"57","Morocco","102","4,46,550","1,72,414","3,58,42,238","80","208","March 18, 2020","Official population clock",12935
"58","Mozambique","143","7,99,380","3,08,642","2,85,71,310","36","93","July 1, 2019","Official Projection",4144
"59","Netherlands","16","41,526","16,033","1,74,45,781","420","1,088","March 18, 2020","Official population clock",59345
"60","New Zealand","167","2,70,467","1,04,428","49,71,205","18","48","March 18, 2020","Official population clock",19894
"61","Nicaragua","124","1,21,428","46,884","63,93,824","53","137","July 1, 2017","Official estimate",3626
"62","Norway","171","3,23,808","1,25,023","53,67,580","17","44","January 1, 2020","Official quarterly estimate",20134
"63","Oman","177","3,09,500","1,19,499","41,83,841","14","36","June 9, 2015","Weekly official estimate",315
"64","Paraguay","169","4,06,752","1,57,048","70,52,983","17","44","July 1, 2018","Official Projection",17956
"65","Philippines","23","3,00,000","1,15,831","10,84,20,484","361","936","March 18, 2020","Official population clock",9748
"66","Poland","69","3,12,685","1,20,728","3,83,86,000","123","319","June 30, 2019","Official estimate",16319
"67","Portugal","73","92,090","35,556","1,02,76,617","112","290","December 31, 2018","Official estimate",18020
"68","Romania","97","2,38,391","92,043","1,94,05,156","81","210","January 1, 2019","Official annual estimate",3131
"69","Saint Vincent and the Grenadines","31","389","150","1,10,520","284","736","July 1, 2018","Official estimate",1571
"70","Serbia","93","77,474","29,913","69,01,188","89","231","July 1, 2019","Official estimate",3171
"71","Sierra Leone","75","71,740","27,699","79,01,454","110","285","July 1, 2019","Official annual projection",1318
"72","Singapore","2","722.5","279","57,03,600","7,894","20,445","July 1, 2019","Official estimate",8869
"73","Slovakia","74","49,036","18,933","54,50,421","111","287","December 31, 2018","Official estimate",1485
"74","Slovenia","80","20,273","7,827","20,84,301","103","267","January 1, 2019","Official quarterly estimate",2782
"75","Solomon Islands","156","28,370","10,954","6,82,500","24","62","July 1, 2018","Official estimate",1015
"76","Spain","89","5,05,990","1,95,364","4,69,34,632","93","241","July 1, 2019","Official estimate",52408
"77","Sweden","159","4,50,295","1,73,860","1,03,65,705","23","60","March 18, 2020","Official population clock",121261
"78","Switzerland","48","41,285","15,940","85,86,550","208","539","September 30, 2019","Official provisional figure",19090
"79","Tajikistan","118","1,43,100","55,251","91,27,000","64","166","January 1, 2019","Official estimate",1088
"80","Trinidad and Tobago","34","5,155","1,990","13,63,985","265","686","July 1, 2019","Official annual estimate",6199
"81","Turkey","77","7,83,562","3,02,535","8,31,54,997","106","275","December 31, 2019","Annual official estimate",15977
"82","Uganda","52","2,41,551","93,263","4,00,06,700","166","430","July 1, 2019","Annual official estimate",91108
"83","Ukraine","113","6,03,000","2,32,820","4,19,02,416","69","179","January 1, 2020","Official monthly estimate",15150
"84","Yemen","116","4,55,000","1,75,676","2,89,15,284","64","166","July 1, 2018","UN projection",278
